id,hoa_giap_a,hoa_giap_b,nap_am_a,nap_am_b,hanh_a,hanh_b,quan_he_ngu_hanh,quan_he_dia_chi,cung_chi,nguon,ghi_chu
Ất Sửu|Canh Ngọ,Ất Sửu,Canh Ngọ,Hải Trung Kim,Lộ Bàng Thổ,Kim,Thổ,tuong_sinh,luc_hai,khong,tinh-toan,
Ất Sửu|Tân Mùi,Ất Sửu,Tân Mùi,Hải Trung Kim,Lộ Bàng Thổ,Kim,Thổ,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Nhâm Thân,Ất Sửu,Nhâm Thân,Hải Trung Kim,Kiếm Phong Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Ất Sửu|Quý Dậu,Ất Sửu,Quý Dậu,Hải Trung Kim,Kiếm Phong Kim,Kim,Kim,tuong_hoa,tam_hop,khong,tinh-toan,
Ất Sửu|Giáp Tuất,Ất Sửu,Giáp Tuất,Hải Trung Kim,Sơn Đầu Hỏa,Kim,Hỏa,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Ất Hợi,Ất Sửu,Ất Hợi,Hải Trung Kim,Sơn Đầu Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Bính Tý,Ất Sửu,Bính Tý,Hải Trung Kim,Giản Hạ Thủy,Kim,Thủy,tuong_sinh,luc_hop,khong,tinh-toan,
Ất Sửu|Đinh Sửu,Ất Sửu,Đinh Sửu,Hải Trung Kim,Giản Hạ Thủy,Kim,Thủy,tuong_sinh,cung_chi,co,tinh-toan,
Ất Sửu|Mậu Dần,Ất Sửu,Mậu Dần,Hải Trung Kim,Thành Đầu Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Kỷ Mão,Ất Sửu,Kỷ Mão,Hải Trung Kim,Thành Đầu Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Canh Thìn,Ất Sửu,Canh Thìn,Hải Trung Kim,Bạch Lạp Kim,Kim,Kim,tuong_hoa,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Tân Tỵ,Ất Sửu,Tân Tỵ,Hải Trung Kim,Bạch Lạp Kim,Kim,Kim,tuong_hoa,tam_hop,khong,tinh-toan,
Ất Sửu|Nhâm Ngọ,Ất Sửu,Nhâm Ngọ,Hải Trung Kim,Dương Liễu Mộc,Kim,Mộc,tuong_khac,luc_hai,khong,tinh-toan,
Ất Sửu|Quý Mùi,Ất Sửu,Quý Mùi,Hải Trung Kim,Dương Liễu Mộc,Kim,Mộc,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Giáp Thân,Ất Sửu,Giáp Thân,Hải Trung Kim,Tuyền Trung Thủy,Kim,Thủy,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Ất Dậu,Ất Sửu,Ất Dậu,Hải Trung Kim,Tuyền Trung Thủy,Kim,Thủy,tuong_sinh,tam_hop,khong,tinh-toan,
Ất Sửu|Bính Tuất,Ất Sửu,Bính Tuất,Hải Trung Kim,Ốc Thượng Thổ,Kim,Thổ,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Đinh Hợi,Ất Sửu,Đinh Hợi,Hải Trung Kim,Ốc Thượng Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Mậu Tý,Ất Sửu,Mậu Tý,Hải Trung Kim,Tích Lịch Hỏa,Kim,Hỏa,tuong_khac,luc_hop,khong,tinh-toan,
Ất Sửu|Kỷ Sửu,Ất Sửu,Kỷ Sửu,Hải Trung Kim,Tích Lịch Hỏa,Kim,Hỏa,tuong_khac,cung_chi,co,tinh-toan,
Ất Sửu|Canh Dần,Ất Sửu,Canh Dần,Hải Trung Kim,Tùng Bách Mộc,Kim,Mộc,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Tân Mão,Ất Sửu,Tân Mão,Hải Trung Kim,Tùng Bách Mộc,Kim,Mộc,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Nhâm Thìn,Ất Sửu,Nhâm Thìn,Hải Trung Kim,Trường Lưu Thủy,Kim,Thủy,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Quý Tỵ,Ất Sửu,Quý Tỵ,Hải Trung Kim,Trường Lưu Thủy,Kim,Thủy,tuong_sinh,tam_hop,khong,tinh-toan,
Ất Sửu|Giáp Ngọ,Ất Sửu,Giáp Ngọ,Hải Trung Kim,Sa Trung Kim,Kim,Kim,tuong_hoa,luc_hai,khong,tinh-toan,
Ất Sửu|Ất Mùi,Ất Sửu,Ất Mùi,Hải Trung Kim,Sa Trung Kim,Kim,Kim,tuong_hoa,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Bính Thân,Ất Sửu,Bính Thân,Hải Trung Kim,Sơn Hạ Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Đinh Dậu,Ất Sửu,Đinh Dậu,Hải Trung Kim,Sơn Hạ Hỏa,Kim,Hỏa,tuong_khac,tam_hop,khong,tinh-toan,
Ất Sửu|Mậu Tuất,Ất Sửu,Mậu Tuất,Hải Trung Kim,Bình Địa Mộc,Kim,Mộc,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Kỷ Hợi,Ất Sửu,Kỷ Hợi,Hải Trung Kim,Bình Địa Mộc,Kim,Mộc,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Canh Tý,Ất Sửu,Canh Tý,Hải Trung Kim,Bích Thượng Thổ,Kim,Thổ,tuong_sinh,luc_hop,khong,tinh-toan,
Ất Sửu|Tân Sửu,Ất Sửu,Tân Sửu,Hải Trung Kim,Bích Thượng Thổ,Kim,Thổ,tuong_sinh,cung_chi,co,tinh-toan,
Ất Sửu|Nhâm Dần,Ất Sửu,Nhâm Dần,Hải Trung Kim,Kim Bạc Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Ất Sửu|Quý Mão,Ất Sửu,Quý Mão,Hải Trung Kim,Kim Bạc Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Ất Sửu|Giáp Thìn,Ất Sửu,Giáp Thìn,Hải Trung Kim,Phú Đăng Hỏa,Kim,Hỏa,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Ất Tỵ,Ất Sửu,Ất Tỵ,Hải Trung Kim,Phú Đăng Hỏa,Kim,Hỏa,tuong_khac,tam_hop,khong,tinh-toan,
Ất Sửu|Bính Ngọ,Ất Sửu,Bính Ngọ,Hải Trung Kim,Thiên Hà Thủy,Kim,Thủy,tuong_sinh,luc_hai,khong,tinh-toan,
Ất Sửu|Đinh Mùi,Ất Sửu,Đinh Mùi,Hải Trung Kim,Thiên Hà Thủy,Kim,Thủy,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Mậu Thân,Ất Sửu,Mậu Thân,Hải Trung Kim,Đại Trạch Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Kỷ Dậu,Ất Sửu,Kỷ Dậu,Hải Trung Kim,Đại Trạch Thổ,Kim,Thổ,tuong_sinh,tam_hop,khong,tinh-toan,
Ất Sửu|Canh Tuất,Ất Sửu,Canh Tuất,Hải Trung Kim,Thoa Xuyến Kim,Kim,Kim,tuong_hoa,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Tân Hợi,Ất Sửu,Tân Hợi,Hải Trung Kim,Thoa Xuyến Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Ất Sửu|Nhâm Tý,Ất Sửu,Nhâm Tý,Hải Trung Kim,Tang Đố Mộc,Kim,Mộc,tuong_khac,luc_hop,khong,tinh-toan,
Ất Sửu|Quý Sửu,Ất Sửu,Quý Sửu,Hải Trung Kim,Tang Đố Mộc,Kim,Mộc,tuong_khac,cung_chi,co,tinh-toan,
Ất Sửu|Giáp Dần,Ất Sửu,Giáp Dần,Hải Trung Kim,Đại Khê Thủy,Kim,Thủy,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Ất Mão,Ất Sửu,Ất Mão,Hải Trung Kim,Đại Khê Thủy,Kim,Thủy,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Bính Thìn,Ất Sửu,Bính Thìn,Hải Trung Kim,Sa Trung Thổ,Kim,Thổ,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Đinh Tỵ,Ất Sửu,Đinh Tỵ,Hải Trung Kim,Sa Trung Thổ,Kim,Thổ,tuong_sinh,tam_hop,khong,tinh-toan,
Ất Sửu|Mậu Ngọ,Ất Sửu,Mậu Ngọ,Hải Trung Kim,Thiên Thượng Hỏa,Kim,Hỏa,tuong_khac,luc_hai,khong,tinh-toan,
Ất Sửu|Kỷ Mùi,Ất Sửu,Kỷ Mùi,Hải Trung Kim,Thiên Thượng Hỏa,Kim,Hỏa,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Canh Thân,Ất Sửu,Canh Thân,Hải Trung Kim,Thạch Lựu Mộc,Kim,Mộc,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Tân Dậu,Ất Sửu,Tân Dậu,Hải Trung Kim,Thạch Lựu Mộc,Kim,Mộc,tuong_khac,tam_hop,khong,tinh-toan,
Ất Sửu|Nhâm Tuất,Ất Sửu,Nhâm Tuất,Hải Trung Kim,Đại Hải Thủy,Kim,Thủy,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Quý Hợi,Ất Sửu,Quý Hợi,Hải Trung Kim,Đại Hải Thủy,Kim,Thủy,tuong_sinh,binh_thuong,khong,tinh-toan,
Bính Dần|Giáp Tý,Bính Dần,Giáp Tý,Lư Trung Hỏa,Hải Trung Kim,Hỏa,Kim,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Ất Sửu,Bính Dần,Ất Sửu,Lư Trung Hỏa,Hải Trung Kim,Hỏa,Kim,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Bính Dần,Bính Dần,Bính Dần,Lư Trung Hỏa,Lư Trung Hỏa,Hỏa,Hỏa,tuong_hoa,cung_chi,co,tinh-toan,
Bính Dần|Đinh Mão,Bính Dần,Đinh Mão,Lư Trung Hỏa,Lư Trung Hỏa,Hỏa,Hỏa,tuong_hoa,binh_thuong,khong,tinh-toan,
Bính Dần|Mậu Thìn,Bính Dần,Mậu Thìn,Lư Trung Hỏa,Đại Lâm Mộc,Hỏa,Mộc,tuong_sinh,binh_thuong,khong,tinh-toan,
Bính Dần|Kỷ Tỵ,Bính Dần,Kỷ Tỵ,Lư Trung Hỏa,Đại Lâm Mộc,Hỏa,Mộc,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Bính Dần|Canh Ngọ,Bính Dần,Canh Ngọ,Lư Trung Hỏa,Lộ Bàng Thổ,Hỏa,Thổ,tuong_sinh,tam_hop,khong,tinh-toan,
Bính Dần|Tân Mùi,Bính Dần,Tân Mùi,Lư Trung Hỏa,Lộ Bàng Thổ,Hỏa,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Bính Dần|Nhâm Thân,Bính Dần,Nhâm Thân,Lư Trung Hỏa,Kiếm Phong Kim,Hỏa,Kim,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Bính Dần|Quý Dậu,Bính Dần,Quý Dậu,Lư Trung Hỏa,Kiếm Phong Kim,Hỏa,Kim,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Giáp Tuất,Bính Dần,Giáp Tuất,Lư Trung Hỏa,Sơn Đầu Hỏa,Hỏa,Hỏa,tuong_hoa,tam_hop,khong,tinh-toan,
Bính Dần|Ất Hợi,Bính Dần,Ất Hợi,Lư Trung Hỏa,Sơn Đầu Hỏa,Hỏa,Hỏa,tuong_hoa,luc_hop,khong,tinh-toan,
Bính Dần|Bính Tý,Bính Dần,Bính Tý,Lư Trung Hỏa,Giản Hạ Thủy,Hỏa,Thủy,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Đinh Sửu,Bính Dần,Đinh Sửu,Lư Trung Hỏa,Giản Hạ Thủy,Hỏa,Thủy,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Mậu Dần,Bính Dần,Mậu Dần,Lư Trung Hỏa,Thành Đầu Thổ,Hỏa,Thổ,tuong_sinh,cung_chi,co,tinh-toan,
Bính Dần|Kỷ Mão,Bính Dần,Kỷ Mão,Lư Trung Hỏa,Thành Đầu Thổ,Hỏa,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Bính Dần|Canh Thìn,Bính Dần,Canh Thìn,Lư Trung Hỏa,Bạch Lạp Kim,Hỏa,Kim,tuong_khac,binh_thuong,khong,tinh-toan,
Bính Dần|Tân Tỵ,Bính Dần,Tân Tỵ,Lư Trung Hỏa,Bạch Lạp Kim,Hỏa,Kim,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Bính Dần|Nhâm Ngọ,Bính Dần,Nhâm Ngọ,Lư Trung Hỏa,Dương Liễu Mộc,Hỏa,Mộc,tuong_sinh,tam_hop,khong,tinh-toan,
Bính Dần|Quý Mùi,Bính Dần,Quý Mùi,Lư Trung Hỏa,Dương Liễu Mộc,Hỏa,Mộc,tuong_sinh,binh_thuong,khong,tinh-toan,
Bính Dần|Giáp Thân,Bính Dần,Giáp Thân,Lư Trung Hỏa,Tuyền Trung Thủy,Hỏa,Thủy,tuong_khac,tu_hanh_xung,khong,tinh-toan,
