id,chi_1,con_giap_1,chi_2,con_giap_2,quan_he,nguon,ghi_chu
11-5,Tuất,Chó,Thìn,Rồng,tu_hanh_xung,tinh-toan,
11-6,Tuất,Chó,Tỵ,Rắn,binh_thuong,tinh-toan,
11-7,Tuất,Chó,Ngọ,Ngựa,tam_hop,tinh-toan,
11-8,Tuất,Chó,Mùi,Dê,tu_hanh_xung,tinh-toan,
11-9,Tuất,Chó,Thân,Khỉ,binh_thuong,tinh-toan,
11-10,Tuất,Chó,Dậu,Gà,luc_hai,tinh-toan,
11-11,Tuất,Chó,Tuất,Chó,cung_chi,tinh-toan,
11-12,Tuất,Chó,Hợi,Lợn,binh_thuong,tinh-toan,
12-1,Hợi,Lợn,Tý,Chuột,binh_thuong,tinh-toan,
12-2,Hợi,Lợn,Sửu,Trâu,binh_thuong,tinh-toan,
12-3,Hợi,Lợn,Dần,Hổ,tu_hanh_xung,tinh-toan,
12-4,Hợi,Lợn,Mão,Mèo,tam_hop,tinh-toan,
12-5,Hợi,Lợn,Thìn,Rồng,binh_thuong,tinh-toan,
12-6,Hợi,Lợn,Tỵ,Rắn,tu_hanh_xung,tinh-toan,
12-7,Hợi,Lợn,Ngọ,Ngựa,binh_thuong,tinh-toan,
12-8,Hợi,Lợn,Mùi,Dê,tam_hop,tinh-toan,
12-9,Hợi,Lợn,Thân,Khỉ,tu_hanh_xung,tinh-toan,
12-10,Hợi,Lợn,Dậu,Gà,binh_thuong,tinh-toan,
12-11,Hợi,Lợn,Tuất,Chó,binh_thuong,tinh-toan,
12-12,Hợi,Lợn,Hợi,Lợn,cung_chi,tinh-toan,
